Date,Close,Volume
39385,1531.02,3212520000
39384,1540.98,3124480000
39381,1535.28,3612120000
39380,1514.4,4183960000
39379,1515.88,4003300000
39378,1519.59,3309120000
39377,1506.33,3471830000
39374,1500.63,4160970000
39373,1540.08,3203210000
39372,1541.24,3638070000
39371,1538.53,3234560000
39370,1548.71,3139290000
39367,1561.8,2788690000
39366,1554.41,3911260000
39365,1562.47,3044760000
39364,1565.15,2932040000
39363,1552.58,2040650000
39360,1557.59,2919030000
39359,1542.84,2690430000
39358,1539.59,3065320000
39357,1546.63,3101910000
39356,1547.04,3281990000
39353,1526.75,2925350000
39352,1531.38,2872180000
39351,1525.42,3237390000
39350,1517.21,3187770000
39349,1517.73,3131310000
39346,1525.75,3679460000
39345,1518.75,2957700000
39344,1529.03,3846750000
39343,1519.78,3708940000
39342,1476.65,2598390000
39339,1484.25,2641740000
39338,1483.95,2877080000
39337,1471.56,2885720000
39336,1471.49,3015330000
39335,1451.7,2835720000
39332,1453.55,3191080000
39331,1478.55,2459590000
39330,1472.29,2991600000
39329,1489.42,2766600000
39325,1473.99,2731610000
39324,1457.64,2582960000
39323,1463.76,2824070000
39322,1432.36,3078090000
39321,1466.79,2406180000
39318,1479.37,2541400000
39317,1462.5,3084390000
39316,1464.07,3309120000
39315,1447.12,3012150000
39314,1445.55,3321340000
39311,1445.94,3570040000
39310,1411.27,6509300000
39309,1406.7,4290930000
39308,1426.54,3814630000
39307,1452.92,3696280000
39304,1453.64,5345780000
39303,1453.09,5889600000
39302,1497.49,5499560000
39301,1476.71,4909390000
39300,1467.67,5067200000
39297,1433.06,4272110000
39296,1472.2,4368850000
39295,1465.81,5256780000
39294,1455.27,4524520000
39293,1473.91,4128780000
39290,1458.95,4784650000
39289,1482.66,4472550000
39288,1518.09,4283200000
39287,1511.04,4115830000
39286,1541.57,3102700000
39283,1534.1,3745780000
39282,1553.08,3251450000
39281,1546.17,3609220000
39280,1549.37,3007140000
39279,1549.52,2704110000
39276,1552.5,2801120000
39275,1547.7,3489600000
39274,1518.76,3082920000
39273,1510.12,3244280000
39272,1531.85,2715330000
39269,1530.44,2441520000
39268,1525.4,2622950000
39266,1524.87,1560790000
39265,1519.43,2644990000
39262,1503.35,3165410000
39261,1505.71,3006710000
39260,1506.34,3398150000
39259,1492.89,3398530000
39258,1497.74,3287250000
39255,1502.56,4284320000
39254,1522.19,3161110000
39253,1512.84,3286900000
39252,1533.7,2873590000
39251,1531.05,2480240000
39248,1532.91,3406030000
39247,1522.97,2813630000
39246,1515.67,3077930000
39245,1493,3056200000
39244,1509.12,2525280000
39241,1507.67,2993460000
39240,1490.72,3538470000
39239,1517.38,2964190000
39238,1530.95,2939450000
39237,1539.18,2738930000
39234,1536.34,2927020000
39233,1530.62,3335530000
39232,1530.23,2980210000
39231,1518.11,2571790000
39227,1515.73,2316250000
39226,1507.51,3365530000
39225,1522.28,3084260000
39224,1524.12,2860500000
39223,1525.1,3465360000
39220,1522.75,2959050000
39219,1512.75,2868640000
39218,1514.14,2915350000
39217,1501.19,3071020000
39216,1503.15,2776130000
39213,1505.85,2720780000
39212,1491.47,3031240000
39211,1512.58,2935550000
39210,1507.72,2795720000
39209,1509.48,2545090000
39206,1505.62,2761930000
39205,1502.39,3007970000
39204,1495.92,3189800000
39203,1486.3,3400350000
39202,1482.37,3093420000
39199,1494.07,2732810000
39198,1494.25,3211800000
39197,1495.42,3252590000
39196,1480.41,3119750000
39195,1480.93,2575020000
39192,1484.35,3329940000
39191,1470.73,2913610000
39190,1472.5,2971330000
39189,1471.48,2920570000
39188,1468.33,2870140000
39185,1452.85,2690020000
39184,1447.8,2770570000
39183,1438.87,2950190000
39182,1448.39,2510110000
39181,1444.61,2349410000
39177,1443.76,2357230000
39176,1439.37,2616320000
39175,1437.77,2921760000
39174,1424.55,2875880000
39171,1420.86,2903960000
39170,1422.53,2854710000
39169,1417.23,3000440000
39168,1428.61,2673040000
39167,1437.5,2754660000
39164,1436.11,2619020000
39163,1434.54,3129970000
39162,1435.04,3184770000
39161,1410.94,2795940000
39160,1402.06,2777180000
39157,1386.95,3393640000
39156,1392.28,2821900000
39155,1387.17,3758350000
39154,1377.95,3485570000
39153,1406.6,2664000000
39150,1402.84,2623050000
39149,1401.89,3014850000
39148,1391.97,3141350000
39147,1395.41,3358160000
39146,1374.12,3480520000
39143,1387.17,3312260000
39142,1403.17,3874910000
39141,1406.82,3925250000
39140,1399.04,4065230000
39139,1449.37,2822170000
39136,1451.19,2579950000
39135,1456.38,1950770000
39134,1457.63,2606980000
39133,1459.68,2337860000
39129,1455.54,2399450000
39128,1456.81,2490920000
39127,1455.3,2699290000
39126,1444.26,2652150000
39125,1433.37,2395680000
39122,1438.06,2951810000
39121,1448.31,2816180000
39120,1450.02,2618820000
39119,1448,2608710000
39118,1446.99,2439430000
39115,1448.39,2569450000
39114,1445.94,2914890000
39113,1438.24,2976690000
39112,1428.82,2706250000
39111,1420.62,2730480000
39108,1422.18,2626620000
39107,1423.9,2994330000
39106,1440.13,2783180000
39105,1427.99,2975070000
39104,1422.95,2540120000
39101,1430.5,2777480000
39100,1426.37,2822430000
39099,1430.62,2690270000
39098,1431.9,2599530000
39094,1430.73,2686480000
39093,1423.82,2857870000
39092,1414.85,2764660000
39091,1412.11,3038380000
39090,1412.84,2763340000
39087,1409.71,2919400000
39086,1418.34,3004460000
39085,1416.6,3429160000
39080,1418.3,1678200000
39079,1424.73,1508570000
39078,1426.84,1667370000
39077,1416.9,1310310000
39073,1410.76,1647590000
39072,1418.3,2322410000
39071,1423.53,2387630000
39070,1425.55,2717060000
39069,1422.48,2568140000
39066,1427.09,3229580000
39065,1425.49,2729700000
39064,1413.21,2552260000
39063,1411.56,2738170000
39062,1413.04,2289900000
39059,1409.84,2440460000
39058,1407.29,2743150000
39057,1412.9,2725280000
39056,1414.76,2755700000
39055,1409.12,2766320000
39052,1396.71,2800980000
39051,1400.63,4006230000
39050,1399.48,2790970000
39049,1386.72,2639750000
39048,1381.96,2711210000
39045,1400.95,832550000
39043,1406.09,2237710000
39042,1402.81,2597940000
39041,1400.5,2546710000
39038,1401.2,2726100000
39037,1399.76,2835730000
39036,1396.57,2831130000
39035,1393.22,3027480000
39034,1384.42,2386340000
39031,1380.9,2290200000
39030,1378.33,3012050000
39029,1385.72,2814820000
39028,1382.84,2636390000
39027,1379.78,2533550000
39024,1364.3,2419730000
39023,1367.34,2646180000
39022,1367.81,2821160000
39021,1377.94,2803030000
39020,1377.93,2770440000
39017,1377.34,2458450000
39016,1389.08,2793350000
39015,1382.22,2953540000
39014,1377.38,2876890000
39013,1377.02,2480430000
39010,1368.6,2526410000
39009,1366.96,2619830000
39008,1365.8,2658840000
39007,1364.05,2519620000
39006,1369.06,2305920000
39003,1365.62,2482920000
39002,1362.83,2514350000
39001,1349.95,2521000000
39000,1353.42,2376140000
38999,1350.66,1935170000
38996,1349.59,2523000000
38995,1353.22,2817240000
38994,1350.2,3019880000
38993,1334.11,2682690000
38992,1331.32,2154480000
38989,1335.85,2273430000
38988,1338.88,2397820000
38987,1336.59,2749190000
38986,1336.35,2673350000
38985,1326.37,2710240000
38982,1314.78,2162880000
38981,1318.03,2627440000
38980,1325.18,2543070000
38979,1317.64,2390850000
38978,1321.18,2325080000
38975,1319.66,3198030000
38974,1316.28,2351220000
38973,1318.07,2597220000
38972,1313,2791580000
38971,1299.54,2506430000
38968,1298.92,2132890000
38967,1294.02,2325850000
38966,1300.26,2329870000
38965,1313.25,2114480000
38961,1311.01,1800520000
38960,1303.82,1974540000
38959,1305.37,2060690000
38958,1304.28,2093720000
38957,1301.78,1834920000
38954,1295.09,1667580000
38953,1296.06,1930320000
38952,1292.99,1893670000
38951,1298.82,1908740000
38950,1297.52,1759240000
38947,1302.3,2033910000
38946,1297.48,2458340000
38945,1295.43,2554570000
38944,1285.58,2334100000
38943,1268.21,2118020000
38940,1266.74,2004540000
38939,1271.81,2402190000
38938,1265.95,2555180000
38937,1271.48,2457840000
38936,1275.77,2045660000
38933,1279.36,2530970000
38932,1280.27,2728440000
38931,1277.41,2610750000
38930,1270.92,2527690000
38929,1276.66,2461300000
38926,1278.55,2480420000
38925,1263.2,2776710000
38924,1268.4,2667710000
38923,1268.88,2563930000
38922,1260.91,2312720000
38919,1240.29,2704090000
38918,1249.13,2345580000
38917,1259.81,2701980000
38916,1236.86,2481750000
38915,1234.49,2146410000
38912,1236.2,2467120000
38911,1242.28,2545760000
38910,1258.6,2250450000
38909,1272.43,2310850000
38908,1267.34,1854590000
38905,1265.48,1988150000
38904,1274.08,2009160000
38903,1270.91,2165070000
38901,1280.19,1114470000
38898,1270.2,3049560000
38897,1272.87,2621250000
38896,1246,2085490000
38895,1239.2,2203130000
38894,1250.56,1878580000
38891,1244.5,2017270000
38890,1245.6,2148180000
38889,1252.2,2361230000
38888,1240.12,2232950000
38887,1240.13,2517200000
38884,1251.54,2783390000
38883,1256.16,2775480000
38882,1230.04,2667990000
38881,1223.69,3215770000
38880,1237.44,2247010000
38877,1252.3,2214000000
38876,1257.93,3543790000
38875,1256.15,2644170000
38874,1263.85,2697650000
38873,1265.29,2313470000
38870,1288.22,2295540000
38869,1285.71,2360160000
38868,1270.09,2692160000
38867,1259.87,2176190000
38863,1280.16,1814020000
38862,1272.88,2372730000
38861,1258.57,2999030000
38860,1256.58,2605250000
38859,1262.07,2773010000
38856,1267.03,2982300000
38855,1261.81,2537490000
38854,1270.32,2830200000
38853,1292.08,2386210000
38852,1294.5,2505660000
38849,1291.24,2567970000
38848,1305.92,2531520000
38847,1322.85,2268550000
38846,1325.14,2157290000
38845,1324.66,2151300000
38842,1325.76,2294760000
38841,1312.25,2431450000
38840,1308.12,2395230000
38839,1313.21,2403470000
38838,1305.19,2437040000
38835,1310.61,2419920000
38834,1309.72,2772010000
38833,1305.41,2502690000
38832,1301.74,2366380000
38831,1308.11,2117330000
38828,1311.28,2392630000
38827,1311.46,2512920000
38826,1309.93,2447310000
38825,1307.28,2595440000
38824,1285.33,1794650000
38820,1289.12,1891940000
38819,1288.12,1938100000
38818,1286.57,2232880000
38817,1296.62,1898320000
38814,1295.5,2082470000
38813,1309.04,2281680000
38812,1311.56,2420020000
38811,1305.93,2147660000
38810,1297.81,2494080000
38807,1294.87,2236710000
38806,1300.25,2294560000
38805,1302.89,2143540000
38804,1293.23,2148580000
38803,1301.61,2029700000
38800,1302.95,2326070000
38799,1301.67,1980940000
38798,1305.04,2039810000
38797,1297.23,2147370000
38796,1305.08,1976830000
38793,1307.25,2549620000
38792,1305.33,2292180000
38791,1303.02,2293000000
38790,1297.48,2165270000
38789,1284.13,2070330000
38786,1281.42,2123450000
38785,1272.23,2140110000
38784,1278.47,2442870000
38783,1275.88,2268050000
38782,1278.26,2280190000
38779,1287.23,2152950000
38778,1289.14,2494590000
38777,1291.24,2308320000
38776,1280.66,2370860000
38775,1294.12,1975320000
38772,1289.43,1933010000
38771,1287.79,2144210000
38770,1292.67,2222380000
38769,1283.03,2104320000
38765,1287.24,2128260000
38764,1289.38,2251490000
38763,1280,2317590000
38762,1275.53,2437940000
38761,1262.86,1850080000
38758,1266.99,2290050000
38757,1263.78,2441920000
38756,1265.65,2456860000
38755,1254.78,2366370000
38754,1265.02,2132360000
38751,1264.03,2282210000
38750,1270.84,2565300000
38749,1282.46,2589410000
38748,1280.08,2708310000
38747,1285.19,2282730000
38744,1283.72,2623620000
38743,1273.83,2856780000
38742,1264.68,2617060000
38741,1266.86,2608720000
38740,1263.82,2256070000
38737,1261.49,2845810000
38736,1285.04,2444020000
38735,1277.93,2233200000
38734,1283.03,2179970000
38730,1287.61,2206510000
38729,1286.06,2318350000
38728,1294.18,2406130000
38727,1289.69,2373080000
38726,1290.15,2301490000
38723,1285.45,2446560000
38722,1273.48,2433340000
38721,1273.46,2515330000
38720,1268.8,2554570000
38716,1248.29,1443500000
38715,1254.42,1382540000
38714,1258.17,1422360000
38713,1256.54,1540470000
38709,1268.66,1285810000
38708,1268.12,1888500000
38707,1262.79,2065170000
38706,1259.62,1996690000
38705,1259.92,2208810000
38702,1267.32,2584190000
38701,1270.94,2180590000
38700,1272.74,2145520000
38699,1267.43,2390020000
38698,1260.43,1876550000
38695,1259.37,1896290000
38694,1255.84,2178300000
38693,1257.37,2093830000
38692,1263.7,2110740000
38691,1262.09,2325840000
38688,1265.08,2125580000
38687,1264.67,2614830000
38686,1249.48,2374690000
38685,1257.48,2268340000
38684,1257.46,2016900000
38681,1268.25,724940000
38679,1265.61,1985400000
38678,1261.23,2291420000
38677,1254.85,2117350000
38674,1248.27,2453290000
38673,1242.8,2298040000
38672,1231.21,2121580000
38671,1229.01,2359370000
38670,1233.76,1899780000
38667,1234.72,1773140000
38666,1230.96,2378460000
38665,1220.65,2214460000
38664,1218.59,1965050000
38663,1222.81,1987580000
38660,1220.14,2050510000
38659,1219.94,2716630000
38658,1214.76,2648090000
38657,1202.76,2457850000
38656,1207.01,2567470000
38653,1198.41,2379400000
38652,1178.9,2395370000
38651,1191.38,2467750000
38650,1196.54,2312470000
38649,1199.38,2197790000
38646,1179.59,2470920000
38645,1177.8,2617250000
38644,1195.76,2703590000
38643,1178.14,2197010000
38642,1190.1,2054570000
38639,1186.57,2188940000
38638,1176.84,2351150000
38637,1177.68,2491280000
38636,1184.87,2299040000
38635,1187.33,2195990000
38632,1195.9,2126080000
38631,1191.49,2792030000
38630,1196.39,2546780000
38629,1214.47,2341420000
38628,1226.7,2097490000
38625,1228.81,2097520000
38624,1227.68,2176120000
38623,1216.89,2106980000
38622,1215.66,1976270000
38621,1215.63,2022220000
38618,1215.29,1973020000
38617,1214.62,2424720000
38616,1210.2,2548150000
38615,1221.34,2319250000
38614,1231.02,2076540000
38611,1237.91,3152470000
38610,1227.73,2079340000
38609,1227.16,1986750000
38608,1231.2,2082360000
38607,1240.56,1938050000
38604,1241.48,1992560000
38603,1231.67,1955380000
38602,1236.36,2067700000
38601,1233.39,1932090000
38597,1218.02,1640160000
38596,1221.59,2229860000
38595,1220.33,2365510000
38594,1208.41,1916470000
38593,1212.28,1599450000
38590,1205.1,1541090000
38589,1212.37,1571110000
38588,1209.59,1930800000
38587,1217.59,1678620000
38586,1221.73,1621330000
38583,1219.71,1558790000
38582,1219.02,1808170000
38581,1220.24,1859150000
38580,1219.34,1820410000
38579,1233.87,1562880000
38576,1230.39,1709300000
38575,1237.81,1941560000
38574,1229.13,2172320000
38573,1231.38,1897520000
38572,1223.13,1804140000
38569,1226.42,1930280000
38568,1235.86,1981220000
38567,1245.04,1999980000
38566,1244.12,2043120000
38565,1235.35,1716870000
38562,1234.18,1789600000
38561,1243.72,2001680000
38560,1236.79,1945800000
38559,1231.16,1934180000
38558,1229.03,1717580000
38555,1233.68,1766990000
38554,1227.04,2129840000
38553,1235.2,2063340000
38552,1229.35,2041280000
38551,1221.13,1582100000
38548,1227.92,1716400000
38547,1226.5,2048710000
38546,1223.29,1812500000
38545,1222.21,1932010000
38544,1219.44,1846300000
38541,1211.86,1900810000
38540,1197.87,1952440000
38539,1194.94,1883470000
38538,1204.99,1805820000
38534,1194.44,1593820000
38533,1191.33,2109490000
38532,1199.85,1769280000
38531,1201.57,1772410000
38530,1190.69,1738620000
38527,1191.57,2418800000
38526,1200.73,2029920000
38525,1213.88,1823250000
38524,1213.61,1720700000
38523,1216.1,1714530000
38520,1216.96,2407370000
38519,1210.96,1776040000
38518,1206.58,1840440000
38517,1203.91,1698150000
38516,1200.82,1661350000
38513,1198.11,1664180000
38512,1200.93,1824120000
38511,1194.67,1715490000
38510,1197.26,1851370000
38509,1197.51,1547120000
38506,1196.02,1627520000
38505,1204.29,1813790000
38504,1202.22,1810100000
38503,1191.5,1840680000
38499,1198.78,1381430000
38498,1197.62,1654110000
38497,1190.01,1742180000
38496,1194.07,1681000000
38495,1193.86,1681170000
38492,1189.28,1631750000
38491,1191.08,1775860000
38490,1185.56,2266320000
38489,1173.8,1887260000
38488,1165.69,1856860000
38485,1154.05,2188590000
38484,1159.36,1995290000
38483,1171.11,1834970000
38482,1166.22,1889660000
38481,1178.84,1857020000
38478,1171.35,1707200000
38477,1172.63,1997100000
38476,1175.65,2306480000
38475,1161.17,2167020000
38474,1162.16,1980040000
38471,1156.85,2362360000
38470,1143.22,2182270000
38469,1156.38,2151520000
38468,1151.83,1959740000
38467,1162.1,1795030000
38464,1152.12,2045880000
38463,1159.95,2308560000
38462,1137.5,2217050000
38461,1152.78,2142700000
38460,1145.98,2180670000
38457,1142.62,2689960000
38456,1162.05,2355040000
38455,1173.79,2049740000
38454,1187.76,1979830000
38453,1181.21,1525310000
38450,1181.2,1661330000
38449,1191.14,1900620000
38448,1184.07,1797400000
38447,1181.39,1870800000
38446,1176.12,2079770000
38443,1172.92,2168690000
38442,1180.59,2214230000
38441,1181.41,2097110000
38440,1165.36,2223250000
38439,1174.28,1746220000
38435,1171.42,1721720000
38434,1172.53,2246870000
38433,1171.71,2114470000
38432,1183.78,1819440000
38429,1189.65,2344370000
38428,1190.21,1581930000
38427,1188.07,1653190000
38426,1197.75,1513530000
38425,1206.83,1437430000
38422,1200.08,1449820000
38421,1209.25,1604020000
38420,1207.01,1704970000
38419,1219.43,1523090000
38418,1225.31,1488830000
